playlist_id,track_id,position
1000000,70HNt0eoBVqr4ss68U8x3B,1
1000000,6pOD6dUoAMDmvuMePmfOKG,2
1000000,7zLJawuzuYQDmzUen1unZv,3
1000000,5wBLDkxVvclanSitx5jq8e,4
1000000,6VrLYoQKdhu1Jruei06t65,5
1000000,54X78diSLoUDI3joC2bjMz,6
1000000,1fr92Vupmcs2vgLMFVQ7rd,7
1000000,6vBMMa2erexusV4XrgXea9,8
1000000,6nLctpnQJiPTxkaSgbPKiw,9
1000000,3ABG1UQTk0eLYUAeWkmfMi,10
1000000,3KePc5zqybSrshHWzo65pk,11
1000000,6nxQdXa1uAL0rY72wPZu89,12
1000000,04w57GO5p1763E44KQ8AKB,13
1000000,1H7Zqkq54andtaSSnLRrfp,14
1000000,6YbhspuOar1D9WSSnfe7ds,15
1000000,0upLyFR8Rr52ZpMp5esQoq,16
1000000,3CRDbSIZ4r5MsZ0YwxuEkn,17
1000000,0iOZM63lendWRTTeKhZBSC,18
1000000,2NFYkgjUiiKgplnB7tgjoe,19
1000001,1lFHaHvZeLf6XrOqX6iLlS,1
1000001,2aIB1CdRRG7YLBu9hNw9nR,2
1000001,0BCy325UZyR9z0t0uxwn2N,3
1000001,0jqblvsI9LBY4irmLVqqEO,4
1000001,27uBwOJbW6kHsCbKGukxMK,5
1000001,7Hr1Ignop7cymbE3FbOtXa,6
1000001,0KMGxYKeUzK9wc5DZCt3HT,7
1000001,4SXcG6Ti32myNw9GJ9qeDt,8
1000001,3VvsbwvnTw6NOlnCFR0nAK,9
1000001,0PDUDa38GO8lMxLCRc4lL1,10
1000001,4e9hUiLsN4mx61ARosFi7p,11
1000001,6LUGvXEAK8WxIBYK43uoTb,12
1000001,1lOSxJNCLvWm2bYaTcTSmK,13
1000002,1qRA5BS78u3gME0loMl9AA,1
1000002,7tUtvGeKB2V5W5ms6uBlyC,2
1000002,1almCHdsfikRPfVB9VrEdT,3
1000002,1GVnAD8Iz45rux6EC657Yv,4
1000002,6UiDiFJUGEDzkGpZBL8IYq,5
1000002,4Xtlw8oXkIOvzV7crUBKeZ,6
1000002,3pxCXv0NACYfYnLjFcQW5D,7
1000002,3fqwjXwUGN6vbzIwvyFMhx,8
1000002,1RjU7UhRICmdFPKxCucLgq,9
1000002,1FPSkRkDlthbAceSIIWc4C,10
1000002,3Hx7RXqCS7Kzjy2ot2q1Gk,11
1000002,4rETMmjiQ7NL0KFCIZa5oV,12
1000002,27L8sESb3KR79asDUBu8nW,13
1000002,3Y3gChJoEUTqrtuqJCIPQk,14
1000002,1PLMK1ui86iHHG3FM1N7ue,15
1000002,2d7LPtieXdIYzf7yHPooWd,16
1000002,7ifq3etzDP60X1IRaFVngl,17
1000002,10fddGyyeUquZZ2uPTjD7P,18
1000002,6eFahAdQgABBj1XOM99cBG,19
1000003,1ko2lVN0vKGUl9zrU0qSlT,1
1000003,52VIdyKqp1pJRSyUQaxKUA,2
1000003,0PDUDa38GO8lMxLCRc4lL1,3
1000003,3ENHpbTuY72FukZbwGP6bc,4
1000003,2fuCquhmrzHpu5xcA1ci9x,5
1000003,5tVA6TkbaAH9QMITTQRrNv,6
1000003,5T8EDUDqKcs6OSOwEsfqG7,7
1000003,2ccUQnjjNWT0rsNnsBpsCA,8
1000003,5qFxuUIAwJlzO60vqOiL7y,9
1000003,2ZaYFNn1YQuLSVdHhanr4Q,10
1000003,1kgdslQYmeTR4thk9whoRw,11
1000003,06Zz2l7cVTCTgCNDe1bnEF,12
1000003,7fRvtXvJMpGfTLdF0M09a1,13
1000003,1Q5kgpp4pmyGqPwNBzkSrw,14
1000003,7lQ8MOhq6IN2w8EYcFNSUk,15
1000003,1F43XlPBiwAUUIhrUGzylO,16
1000003,6Ehy8wRUYjAZcMMRCxMZVM,17
1000003,3VPBqHUd17ZvEgabW9ZOUU,18
1000003,5t9KYe0Fhd5cW6UYT4qP8f,19
1000003,6yLIqXX9edg1x0HZS7cZEv,20
1000003,5y1Uc72BAKxaleTEXpcJJq,21
1000003,0KQ1LhU7vGiXqn7eAw1nfl,22
1000003,5g1BARk25uUJtEPSUwcjnU,23
1000004,4IUgpL0CgSiloUOHzgd6Qe,1
1000004,35GACeX8Zl55jp29xFbvvo,2
1000004,3eR23VReFzcdmS7TYCrhCe,3
1000004,2Ro9FLIVhPwIQopSr48oJT,4
1000004,3KhF2YiNpJvGpfiCW45R6D,5
1000004,4UJmPSJsBsIR1U0N79BU1g,6
1000004,0ElRzK07sc9eszyk1ea9Ab,7
1000004,42qK1JWm8fDy3qHZbIZNuQ,8
1000004,3fdyHcPGa639HJixHM699h,9
1000004,2R0B44jOb1mC2rU8ObMh0f,10
1000004,5iynCtpEY7mx4ou54tHBPH,11
1000004,6r20M5DWYdIoCDmDViBxuz,12
1000004,54LGxQGf5LPXNGjtzDZ5IE,13
1000004,7FRfYOql61DGDp9VPPe2qA,14
1000004,1sotD6Cn8aOtUsL0bd5HTJ,15
1000004,6eT2fNwiVD04D3R4uP5qOv,16
1000004,0lIoY4ZQsdn5QzhraM9o9u,17
1000004,6UBjSnyP1O5W5ndJoO9vUk,18
1000004,0qgrrDnUUhyxpxbBznUnzg,19
1000004,7oN2q9L9YShc6weFVvnnxA,20
1000004,104buTcnP2AsxqB7U1FIZ4,21
1000004,2Fjz5ZC5BvFdCqcnTZ3ilH,22
1000004,2CPqh63wRVscbceKcPxwvv,23
1000004,4ChBLndekjzQveHPsn3r6W,24
1000004,3vooOYHU0Fi3ViCG7Ozh0Y,25
1000004,0yqWOXyvDtC2ol1Idz8r8J,26
1000004,35lAjvsvS9k9HHuP1fjDT8,27
1000004,7jLbU0psQwmWeOm64xdtut,28
1000006,6QLp8WLQlkqSd9l5fEt36R,1
1000006,2phNY2bHpAbROCrpAZw2R2,2
1000006,5S126DaCBZ8z6yh7B1Lszr,3
1000006,0l1i3nJ4aDMk0inxnvzYTz,4
1000006,4loxhrC7MqARWyHLofmhtW,5
1000006,1DbdQp5dwuawBGmxSHw6Fr,6
1000006,2FcE7B1p3qVvLvwV5qPljV,7
1000006,7b4yGtR0rujvLi5EBfKKJ2,8
1000006,3DkHNCA4QRBQgTzF2T18hm,9
1000006,4Yf5bqU3NK4kNOypcrLYwU,10
1000006,7FRfYOql61DGDp9VPPe2qA,11
1000006,0OBwxFLu6Yj61s2OagYbgY,12
1000006,33JX2be3eKVhl5xk8YQhVc,13
1000006,5g1BARk25uUJtEPSUwcjnU,14
1000006,1Hv54MWloXiAZDam1ez840,15
1000006,0gd50I2gKioJ59C827EdAY,16
1000006,5ZVujHtwnsqFJvLnqRSdch,17
1000006,3BDpn2Vivr1BFhlGsYs5tp,18
1000006,4eAwB5pnKFTmsgc3zWoYO0,19
1000006,3YD9EehnGOf88rGSZFrnHg,20
1000007,3s9itRgJYcKhem01P17865,1
1000007,78His8pbKjbDQF7aX5asgv,2
